Name,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Car Body Style,highway MPG,city MPG
ASTON MARTIN DB9 GT,ASTON MARTIN,DB9 GT,2016,premium unleaded (required),540,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Coupe,19,13
ASTON MARTIN DBS,ASTON MARTIN,DBS,2010,premium unleaded (required),510,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Convertible,18,12
ASTON MARTIN RAPIDE,ASTON MARTIN,Rapide,2010,premium unleaded (required),470,12,Automatic,RearWheelDrive,4,"Exotic,High-Performance",Sedan,19,13
ASTON MARTIN RAPIDE S,ASTON MARTIN,Rapide S,2014,premium unleaded (required),550,12,Automatic,RearWheelDrive,4,"Exotic,High-Performance",Sedan,19,13
ASTON MARTIN V12 VANQUISH,ASTON MARTIN,V12 Vanquish,2004,premium unleaded (required),460,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Coupe,18,11
ASTON MARTIN V12 VANTAGE,ASTON MARTIN,V12 Vantage,2011,premium unleaded (required),510,12,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,17,11
ASTON MARTIN V12 VANTAGE S,ASTON MARTIN,V12 Vantage S,2015,premium unleaded (required),565,12,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,18,12
ASTON MARTIN V8 VANTAGE,ASTON MARTIN,V8 Vantage,2014,premium unleaded (required),430,8,Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,19,13
ASTON MARTIN VANQUISH,ASTON MARTIN,Vanquish,2014,premium unleaded (required),565,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Convertible,19,13
ASTON MARTIN VIRAGE,ASTON MARTIN,Virage,2012,premium unleaded (required),490,12,Automatic,RearWheelDrive,2,"Exotic,High-Performance",Coupe,18,13
AUDI 100,AUDI,100,1992,regular unleaded,172,6,Manual,FrontWheelDrive,4,Luxury,Sedan,24,17
AUDI 200,AUDI,200,1990,regular unleaded,162,5,Automatic,FrontWheelDrive,4,Luxury,Sedan,20,16
AUDI 80,AUDI,80,1990,regular unleaded,108,4,Manual,FrontWheelDrive,4,Luxury,Sedan,28,19
AUDI 90,AUDI,90,1993,regular unleaded,172,6,Manual,AllWheelDrive,4,Luxury,Sedan,20,15
AUDI A3,AUDI,A3,2015,diesel,150,4,Automated_Manual,FrontWheelDrive,4,"Diesel,Luxury",Sedan,43,31
AUDI A4,AUDI,A4,2015,premium unleaded (required),220,4,Automatic,AllWheelDrive,4,Luxury,Sedan,31,22
AUDI A4 ALLROAD,AUDI,A4 allroad,2017,premium unleaded (recommended),252,4,Automated_Manual,AllWheelDrive,4,Luxury,Wagon,28,23
AUDI A5,AUDI,A5,2016,premium unleaded (required),220,4,Automatic,AllWheelDrive,2,Luxury,Coupe,31,22
AUDI A6,AUDI,A6,2015,diesel,240,6,Automatic,AllWheelDrive,4,"Diesel,Luxury",Sedan,38,24
AUDI A7,AUDI,A7,2015,premium unleaded (required),310,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,28,18
AUDI A8,AUDI,A8,2016,diesel,240,6,Automatic,AllWheelDrive,4,"Diesel,Luxury",Sedan,36,24
AUDI ALLROAD,AUDI,allroad,2014,premium unleaded (recommended),220,4,Automatic,AllWheelDrive,4,Luxury,Wagon,27,20
AUDI ALLROAD QUATTRO,AUDI,allroad quattro,2003,regular unleaded,250,6,Manual,AllWheelDrive,4,"Crossover,Luxury,Performance",Wagon,21,14
AUDI CABRIOLET,AUDI,Cabriolet,1996,regular unleaded,172,6,Automatic,FrontWheelDrive,2,Luxury,Convertible,22,17
AUDI COUPE,AUDI,Coupe,1990,regular unleaded,164,5,Manual,AllWheelDrive,2,"Hatchback,Factory Tuner,Luxury,Performance",Hatchback,22,16
AUDI Q3,AUDI,Q3,2015,premium unleaded (recommended),200,4,Automatic,FrontWheelDrive,4,"Crossover,Luxury",SUV,29,20
AUDI Q5,AUDI,Q5,2015,premium unleaded (required),272,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,26,18
AUDI Q7,AUDI,Q7,2014,diesel,240,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Diesel",SUV,28,19
AUDI R8,AUDI,R8,2014,premium unleaded (required),525,10,Manual,AllWheelDrive,2,"Luxury,High-Performance",Convertible,19,12
AUDI RS 4,AUDI,RS 4,2007,premium unleaded (required),420,8,Manual,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,20,13
AUDI RS 5,AUDI,RS 5,2013,premium unleaded (required),450,8,Automated_Manual,AllWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Convertible,23,16
AUDI RS 6,AUDI,RS 6,2003,premium unleaded (required),450,8,Automatic,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,20,14
AUDI RS 7,AUDI,RS 7,2015,premium unleaded (required),560,8,Automatic,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,27,16
AUDI S3,AUDI,S3,2015,premium unleaded (required),292,4,Automated_Manual,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,31,23
AUDI S4,AUDI,S4,2014,premium unleaded (required),333,6,Automated_Manual,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,28,18
AUDI S5,AUDI,S5,2016,premium unleaded (required),333,6,Automated_Manual,AllWheelDrive,2,"Factory Tuner,Luxury,Performance",Convertible,26,18
AUDI S6,AUDI,S6,2015,premium unleaded (required),420,8,Automated_Manual,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,27,17
AUDI S7,AUDI,S7,2015,premium unleaded (required),420,8,Automated_Manual,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,27,17
AUDI S8,AUDI,S8,2015,premium unleaded (required),520,8,Automatic,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,27,17
AUDI SQ5,AUDI,SQ5,2015,premium unleaded (required),354,6,Automatic,AllWheelDrive,4,"Crossover,Factory Tuner,Luxury,High-Performance",SUV,24,17
AUDI TT,AUDI,TT,2015,premium unleaded (recommended),211,4,Automated_Manual,AllWheelDrive,2,Luxury,Convertible,31,22
AUDI TT RS,AUDI,TT RS,2012,premium unleaded (required),360,5,Manual,AllWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,25,18
AUDI TTS,AUDI,TTS,2015,premium unleaded (required),265,4,Automated_Manual,AllWheelDrive,2,"Factory Tuner,Luxury,Performance",Convertible,31,22
AUDI V8,AUDI,V8,1992,regular unleaded,276,8,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,18,13
BENTLEY ARNAGE,BENTLEY,Arnage,2007,premium unleaded (required),450,8,Automatic,RearWheelDrive,4,"Exotic,Luxury,Performance",Sedan,15,10
BENTLEY AZURE,BENTLEY,Azure,2007,premium unleaded (required),450,8,Automatic,RearWheelDrive,2,"Exotic,Luxury",Convertible,15,10
BENTLEY AZURE T,BENTLEY,Azure T,2010,premium unleaded (required),500,8,Automatic,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Convertible,15,9
BENTLEY BROOKLANDS,BENTLEY,Brooklands,2009,premium unleaded (required),530,8,Automatic,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Coupe,14,10
BENTLEY CONTINENTAL,BENTLEY,Continental,2001,premium unleaded (required),420,8,Automatic,RearWheelDrive,2,"Exotic,Luxury,Performance",Coupe,15,10
BENTLEY CONTINENTAL FLYING SPUR,BENTLEY,Continental Flying Spur,2011,flex-fuel (premium unleaded required/E85),552,12,Automatic,AllWheelDrive,4,"Exotic,Flex Fuel,Luxury,High-Performance",Sedan,18,11
BENTLEY CONTINENTAL FLYING SPUR SPEED,BENTLEY,Continental Flying Spur Speed,2011,premium unleaded (required),600,12,Automatic,AllWheelDrive,4,"Exotic,Factory Tuner,Luxury,High-Performance",Sedan,17,10
BENTLEY CONTINENTAL GT,BENTLEY,Continental GT,2014,premium unleaded (required),500,8,Automatic,AllWheelDrive,2,"Exotic,Luxury,High-Performance",Coupe,24,15
BENTLEY CONTINENTAL GT SPEED,BENTLEY,Continental GT Speed,2010,premium unleaded (required),600,12,Automatic,AllWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,17,10
BENTLEY CONTINENTAL GT SPEED CONVERTIBLE,BENTLEY,Continental GT Speed Convertible,2014,flex-fuel (premium unleaded required/E85),626,12,Automatic,AllWheelDrive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Convertible,20,12
BENTLEY CONTINENTAL GT3-R,BENTLEY,Continental GT3-R,2015,premium unleaded (required),572,8,Automatic,AllWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,23,13
BENTLEY CONTINENTAL GTC,BENTLEY,Continental GTC,2012,flex-fuel (premium unleaded required/E85),567,12,Automatic,AllWheelDrive,2,"Exotic,Flex Fuel,Luxury,High-Performance",Convertible,19,11
BENTLEY CONTINENTAL GTC SPEED,BENTLEY,Continental GTC Speed,2010,premium unleaded (required),600,12,Automatic,AllWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Convertible,17,10
BENTLEY CONTINENTAL SUPERSPORTS,BENTLEY,Continental Supersports,2010,flex-fuel (premium unleaded required/E85),621,12,Automatic,AllWheelDrive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Coupe,19,12
BENTLEY CONTINENTAL SUPERSPORTS CONVERTIBLE,BENTLEY,Continental Supersports Convertible,2011,flex-fuel (premium unleaded required/E85),621,12,Automatic,AllWheelDrive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Convertible,19,12
BENTLEY FLYING SPUR,BENTLEY,Flying Spur,2014,flex-fuel (premium unleaded required/E85),616,12,Automatic,AllWheelDrive,4,"Exotic,Flex Fuel,Luxury,High-Performance",Sedan,20,12
BENTLEY MULSANNE,BENTLEY,Mulsanne,2014,premium unleaded (required),505,8,Automatic,RearWheelDrive,4,"Exotic,Luxury,High-Performance",Sedan,18,11
BENTLEY SUPERSPORTS CONVERTIBLE ISR,BENTLEY,Supersports Convertible ISR,2013,flex-fuel (premium unleaded required/E85),631,12,Automatic,AllWheelDrive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Convertible,19,12
BMW 1 SERIES,BMW,1 Series,2011,premium unleaded (required),300,6,Manual,RearWheelDrive,2,"Luxury,Performance",Convertible,28,19
BMW 1 SERIES M,BMW,1 Series M,2011,premium unleaded (required),335,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,26,19
BMW 2 SERIES,BMW,2 Series,2016,premium unleaded (required),240,4,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,35,23
BMW 3 SERIES,BMW,3 Series,2015,premium unleaded (required),241,4,Automatic,AllWheelDrive,4,Luxury,Wagon,33,22
BMW 3 SERIES GRAN TURISMO,BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,Automatic,AllWheelDrive,4,"Hatchback,Luxury,Performance",Hatchback,30,20
BMW 4 SERIES,BMW,4 Series,2015,premium unleaded (required),300,6,Automatic,AllWheelDrive,2,"Luxury,Performance",Convertible,29,20
BMW 4 SERIES GRAN COUPE,BMW,4 Series Gran Coupe,2015,premium unleaded (required),240,4,Automatic,AllWheelDrive,4,Luxury,Sedan,33,22
BMW 5 SERIES,BMW,5 Series,2015,premium unleaded (required),443,8,Automatic,AllWheelDrive,4,"Luxury,High-Performance",Sedan,25,16
BMW 5 SERIES GRAN TURISMO,BMW,5 Series Gran Turismo,2015,premium unleaded (required),300,6,Automatic,RearWheelDrive,4,"Hatchback,Luxury",Hatchback,28,19
BMW 6 SERIES,BMW,6 Series,2015,premium unleaded (required),445,8,Automatic,RearWheelDrive,2,"Luxury,High-Performance",Convertible,25,17
BMW 6 SERIES GRAN COUPE,BMW,6 Series Gran Coupe,2015,premium unleaded (required),445,8,Automatic,AllWheelDrive,4,"Luxury,High-Performance",Sedan,24,16
BMW 7 SERIES,BMW,7 Series,2015,premium unleaded (required),535,12,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,20,13
BMW 8 SERIES,BMW,8 Series,1995,regular unleaded,282,8,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,22,15
BMW ACTIVEHYBRID 5,BMW,ActiveHybrid 5,2014,premium unleaded (required),335,6,Automatic,RearWheelDrive,4,"Luxury,Performance,Hybrid",Sedan,30,23
BMW ACTIVEHYBRID 7,BMW,ActiveHybrid 7,2013,premium unleaded (required),350,6,Automatic,RearWheelDrive,4,"Luxury,Performance,Hybrid",Sedan,30,22
BMW ACTIVEHYBRID X6,BMW,ActiveHybrid X6,2010,premium unleaded (required),480,8,Automatic,AllWheelDrive,4,"Crossover,Luxury,Performance,Hybrid",SUV,19,17
BMW ALPINA,BMW,Alpina,2003,premium unleaded (required),375,8,Automatic,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Convertible,19,13
BMW ALPINA B6 GRAN COUPE,BMW,ALPINA B6 Gran Coupe,2015,premium unleaded (required),540,8,Automatic,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,24,16
BMW ALPINA B7,BMW,ALPINA B7,2014,premium unleaded (required),540,8,Automatic,AllWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,24,16
BMW I3,BMW,i3,2015,electric,170,0,Direct_Drive,RearWheelDrive,4,"Hatchback,Luxury",Hatchback,111,137
BMW M,BMW,M,2001,premium unleaded (required),315,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,23,15
BMW M2,BMW,M2,2016,premium unleaded (required),365,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,26,18
BMW M3,BMW,M3,2015,premium unleaded (required),425,6,Manual,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,26,17
BMW M4,BMW,M4,2015,premium unleaded (required),425,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,26,17
BMW M4 GTS,BMW,M4 GTS,2016,premium unleaded (required),493,6,Automated_Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,23,16
BMW M5,BMW,M5,2014,premium unleaded (required),552,8,Automated_Manual,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,20,14
BMW M6,BMW,M6,2015,premium unleaded (required),560,8,Automated_Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Convertible,20,14
BMW M6 GRAN COUPE,BMW,M6 Gran Coupe,2015,premium unleaded (required),560,8,Automated_Manual,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,20,14
BMW X1,BMW,X1,2015,premium unleaded (required),240,4,Automatic,RearWheelDrive,4,"Crossover,Luxury,Performance",SUV,34,23
BMW X3,BMW,X3,2015,premium unleaded (required),300,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Performance",SUV,26,19
BMW X4,BMW,X4,2015,premium unleaded (required),240,4,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,28,20
BMW X5,BMW,X5,2015,diesel,255,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Diesel",SUV,31,24
BMW X5 M,BMW,X5 M,2015,premium unleaded (required),567,8,Automatic,AllWheelDrive,4,"Crossover,Factory Tuner,Luxury,High-Performance",SUV,19,14
BMW X6,BMW,X6,2015,premium unleaded (required),300,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,27,18
BMW X6 M,BMW,X6 M,2015,premium unleaded (required),567,8,Automatic,AllWheelDrive,4,"Crossover,Factory Tuner,Luxury,High-Performance",SUV,19,14
BMW Z3,BMW,Z3,2000,regular unleaded,193,6,Manual,RearWheelDrive,2,"Luxury,Performance",Convertible,24,17
BMW Z4,BMW,Z4,2014,premium unleaded (required),240,4,Manual,RearWheelDrive,2,"Luxury,Performance",Convertible,34,22
BMW Z4 M,BMW,Z4 M,2007,premium unleaded (required),330,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,22,15
BMW Z8,BMW,Z8,2001,premium unleaded (required),394,8,Manual,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Convertible,19,12
BUGATTI VEYRON 16.4,BUGATTI,Veyron 16.4,2008,premium unleaded (required),1001,16,Automated_Manual,AllWheelDrive,2,"Exotic,High-Performance",Coupe,14,8
BUICK CASCADA,BUICK,Cascada,2016,premium unleaded (recommended),200,4,Automatic,FrontWheelDrive,2,N/A,Convertible,27,20
BUICK CENTURY,BUICK,Century,2003,regular unleaded,175,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,18
BUICK ELECTRA,BUICK,Electra,1990,regular unleaded,165,6,Automatic,FrontWheelDrive,4,N/A,Sedan,25,16
BUICK ENCLAVE,BUICK,Enclave,2015,regular unleaded,288,6,Automatic,AllWheelDrive,4,Crossover,SUV,22,16
BUICK ENCORE,BUICK,Encore,2015,regular unleaded,138,4,Automatic,AllWheelDrive,4,Crossover,SUV,30,23
BUICK ENVISION,BUICK,Envision,2016,premium unleaded (recommended),252,4,Automatic,AllWheelDrive,4,Crossover,SUV,26,20
BUICK ESTATE WAGON,BUICK,Estate Wagon,1990,regular unleaded,140,8,Automatic,RearWheelDrive,4,N/A,Wagon,22,15
BUICK LACROSSE,BUICK,LaCrosse,2015,regular unleaded,182,4,Automatic,FrontWheelDrive,4,"Flex Fuel,Hybrid",Sedan,36,25
BUICK LESABRE,BUICK,LeSabre,2003,regular unleaded,205,6,Automatic,FrontWheelDrive,4,N/A,Sedan,27,17
BUICK LUCERNE,BUICK,Lucerne,2009,premium unleaded (recommended),292,8,Automatic,FrontWheelDrive,4,"Factory Tuner,Performance",Sedan,22,15
BUICK PARK AVENUE,BUICK,Park Avenue,2003,premium unleaded (required),240,6,Automatic,FrontWheelDrive,4,Performance,Sedan,25,16
BUICK RAINIER,BUICK,Rainier,2005,regular unleaded,275,6,Automatic,AllWheelDrive,4,N/A,SUV,19,14
BUICK REATTA,BUICK,Reatta,1990,regular unleaded,165,6,Automatic,FrontWheelDrive,2,N/A,Coupe,25,16
BUICK REGAL,BUICK,Regal,2016,premium unleaded (recommended),259,4,Automatic,FrontWheelDrive,4,Performance,Sedan,30,21
BUICK RENDEZVOUS,BUICK,Rendezvous,2005,regular unleaded,185,6,Automatic,AllWheelDrive,4,Crossover,SUV,22,16
BUICK RIVIERA,BUICK,Riviera,1997,regular unleaded,205,6,Automatic,FrontWheelDrive,2,N/A,Coupe,26,17
BUICK ROADMASTER,BUICK,Roadmaster,1994,regular unleaded,260,8,Automatic,RearWheelDrive,4,N/A,Sedan,23,15
BUICK SKYLARK,BUICK,Skylark,1996,regular unleaded,150,4,Automatic,FrontWheelDrive,2,N/A,Coupe,29,19
BUICK TERRAZA,BUICK,Terraza,2005,regular unleaded,200,6,Automatic,AllWheelDrive,4,N/A,Passenger Minivan,21,15
BUICK VERANO,BUICK,Verano,2015,regular unleaded,180,4,Automatic,FrontWheelDrive,4,N/A,Sedan,32,21
CADILLAC ALLANTE,CADILLAC,Allante,1991,regular unleaded,200,8,Automatic,FrontWheelDrive,2,"Luxury,Performance",Convertible,20,14
CADILLAC ATS,CADILLAC,ATS,2015,premium unleaded (recommended),272,4,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,28,20
CADILLAC ATS COUPE,CADILLAC,ATS Coupe,2015,flex-fuel (unleaded/E85),321,6,Automatic,RearWheelDrive,2,"Flex Fuel,Luxury,High-Performance",Coupe,28,18
CADILLAC ATS-V,CADILLAC,ATS-V,2016,premium unleaded (recommended),464,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,23,17
CADILLAC BROUGHAM,CADILLAC,Brougham,1990,regular unleaded,140,8,Automatic,RearWheelDrive,4,Luxury,Sedan,22,15
CADILLAC CATERA,CADILLAC,Catera,1999,regular unleaded,200,6,Automatic,RearWheelDrive,4,Luxury,Sedan,23,16
CADILLAC CT6,CADILLAC,CT6,2016,premium unleaded (recommended),265,4,Automatic,RearWheelDrive,4,Luxury,Sedan,31,22
CADILLAC CTS,CADILLAC,CTS,2015,flex-fuel (unleaded/E85),321,6,Automatic,AllWheelDrive,4,"Flex Fuel,Luxury,Performance",Sedan,26,18
CADILLAC CTS COUPE,CADILLAC,CTS Coupe,2012,regular unleaded,318,6,Automatic,AllWheelDrive,2,"Luxury,Performance",Coupe,27,18
CADILLAC CTS WAGON,CADILLAC,CTS Wagon,2012,regular unleaded,270,6,Automatic,RearWheelDrive,4,Luxury,Wagon,27,18
CADILLAC CTS-V,CADILLAC,CTS-V,2014,premium unleaded (required),556,8,Manual,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,19,14
CADILLAC CTS-V COUPE,CADILLAC,CTS-V Coupe,2013,premium unleaded (required),556,8,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,19,14
CADILLAC CTS-V WAGON,CADILLAC,CTS-V Wagon,2012,premium unleaded (required),556,8,Manual,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Wagon,19,14
CADILLAC DEVILLE,CADILLAC,DeVille,2003,regular unleaded,275,8,Automatic,FrontWheelDrive,4,Luxury,Sedan,25,16
CADILLAC DTS,CADILLAC,DTS,2009,regular unleaded,275,8,Automatic,FrontWheelDrive,4,Luxury,Sedan,23,15
CADILLAC ELDORADO,CADILLAC,Eldorado,2000,regular unleaded,275,8,Automatic,FrontWheelDrive,2,Luxury,Coupe,25,15
CADILLAC ESCALADE,CADILLAC,Escalade,2015,flex-fuel (unleaded/E85),420,8,Automatic,RearWheelDrive,4,"Flex Fuel,Luxury,Performance",SUV,21,15
CADILLAC ESCALADE ESV,CADILLAC,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,Automatic,four wheel drive,4,"Flex Fuel,Luxury,Performance",SUV,20,14
CADILLAC ESCALADE EXT,CADILLAC,Escalade EXT,2011,flex-fuel (premium unleaded recommended/E85),403,8,Automatic,AllWheelDrive,4,"Crossover,Flex Fuel,Luxury,Performance",Crew Cab Pickup,18,13
CADILLAC ESCALADE HYBRID,CADILLAC,Escalade Hybrid,2011,regular unleaded,332,8,Automatic,four wheel drive,4,"Luxury,Hybrid",SUV,23,20
CADILLAC FLEETWOOD,CADILLAC,Fleetwood,1994,regular unleaded,260,8,Automatic,RearWheelDrive,4,Luxury,Sedan,23,15
CADILLAC SEVILLE,CADILLAC,Seville,2002,regular unleaded,275,8,Automatic,FrontWheelDrive,4,Luxury,Sedan,25,16
CADILLAC SIXTY SPECIAL,CADILLAC,Sixty Special,1993,regular unleaded,200,8,Automatic,FrontWheelDrive,4,Luxury,Sedan,23,15
CADILLAC SRX,CADILLAC,SRX,2014,regular unleaded,308,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,23,16
CADILLAC STS,CADILLAC,STS,2009,premium unleaded (required),320,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,24,15
CADILLAC STS-V,CADILLAC,STS-V,2007,premium unleaded (required),469,8,Automatic,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,19,12
CADILLAC XLR,CADILLAC,XLR,2007,regular unleaded,320,8,Automatic,RearWheelDrive,2,Luxury,Convertible,24,15
CADILLAC XLR-V,CADILLAC,XLR-V,2007,premium unleaded (required),443,8,Automatic,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Convertible,20,13
CADILLAC XT5,CADILLAC,XT5,2017,premium unleaded (required),310,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,26,18
CADILLAC XTS,CADILLAC,XTS,2015,regular unleaded,304,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,26,17
CHEVROLET ASTRO,CHEVROLET,Astro,2003,regular unleaded,190,6,Automatic,AllWheelDrive,3,N/A,Passenger Minivan,16,12
CHEVROLET ASTRO CARGO,CHEVROLET,Astro Cargo,2003,regular unleaded,190,6,Automatic,RearWheelDrive,3,N/A,Cargo Minivan,21,15
CHEVROLET AVALANCHE,CHEVROLET,Avalanche,2010,flex-fuel (unleaded/E85),320,8,Automatic,RearWheelDrive,4,"Crossover,Flex Fuel",Crew Cab Pickup,21,15
CHEVROLET AVEO,CHEVROLET,Aveo,2009,regular unleaded,107,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,34,27
CHEVROLET BERETTA,CHEVROLET,Beretta,1994,regular unleaded,170,4,Manual,FrontWheelDrive,2,Performance,Coupe,27,18
