Name,Name,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
AUDI A7 QUATTRO TDI (MODIFIED),Audi A7 QUATTRO TDI (modified),AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.2,8.1,35,217
AUDI A8,Audi A8,AUDI,A8,MID-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
AUDI A8 TDI (MODIFIED),Audi A8 TDI (modified),AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
AUDI A8L,Audi A8L,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
AUDI A8L TDI (MODIFIED),Audi A8L TDI (modified),AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
AUDI ALLROAD QUATTRO,Audi ALLROAD QUATTRO,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,10.5,27,242
AUDI Q5,Audi Q5,AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,10.4,27,239
AUDI Q5 TDI (MODIFIED),Audi Q5 TDI (modified),AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,9,31,244
AUDI Q5 HYBRID,Audi Q5 HYBRID,AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,9.2,31,212
AUDI Q7,Audi Q7,AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,13.2,21,304
AUDI Q7 TDI (MODIFIED),Audi Q7 TDI (modified),AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,10.7,26,290
AUDI R8,Audi R8,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
AUDI R8 SPYDER,Audi R8 SPYDER,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
AUDI RS 5,Audi RS 5,AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
AUDI RS 5 CABRIOLET,Audi RS 5 CABRIOLET,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
AUDI RS 7,Audi RS 7,AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,12.5,23,293
AUDI S4,Audi S4,AUDI,S4,COMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
AUDI S5,Audi S5,AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
AUDI S5 CABRIOLET,Audi S5 CABRIOLET,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6,24,267
AUDI S6,Audi S6,AUDI,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
AUDI S7,Audi S7,AUDI,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
AUDI S8,Audi S8,AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8,22,300
AUDI SQ5,Audi SQ5,AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,12.7,22,292
AUDI TT COUPE QUATTRO,Audi TT COUPE QUATTRO,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1,31,209
AUDI TT ROADSTER QUATTRO,Audi TT ROADSTER QUATTRO,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1,31,209
AUDI TTS COUPE QUATTRO,Audi TTS COUPE QUATTRO,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3,27,237
AUDI TTS ROADSTER QUATTRO,Audi TTS ROADSTER QUATTRO,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3,27,237
BENTLEY CONTINENTAL GT,Bentley CONTINENTAL GT,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4,21,314
BENTLEY CONTINENTAL GTC,Bentley CONTINENTAL GTC,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,14.2,20,332
BENTLEY CONTINENTAL GT SPEED CONVERTIBLE,Bentley CONTINENTAL GT SPEED CONVERTIBLE,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
BENTLEY FLYING SPUR,Bentley FLYING SPUR,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5,17,388
BENTLEY MULSANNE,Bentley MULSANNE,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19,15,437
BMW 320I,Bmw 320i,BMW,320i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
BMW 320I XDRIVE,Bmw 320i xDRIVE,BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,8.8,32,202
BMW 328D XDRIVE,Bmw 328d xDRIVE,BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181
BMW 328D XDRIVE TOURING,Bmw 328d xDRIVE TOURING,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,6.7,42,181
BMW 328I,Bmw 328i,BMW,328i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
BMW 328I XDRIVE,Bmw 328i xDRIVE,BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW 328I XDRIVE GRAN TURISMO,Bmw 328i xDRIVE GRAN TURISMO,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW 328I XDRIVE TOURING,Bmw 328i xDRIVE TOURING,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW 335I,Bmw 335i,BMW,335i,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
BMW 335I XDRIVE,Bmw 335i xDRIVE,BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
BMW 335I XDRIVE GRAN TURISMO,Bmw 335i xDRIVE GRAN TURISMO,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,10.1,28,232
BMW 428I COUPE,Bmw 428i COUPE,BMW,428i COUPE,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
BMW 428I XDRIVE COUPE,Bmw 428i xDRIVE COUPE,BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW 435I COUPE,Bmw 435i COUPE,BMW,435i COUPE,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
BMW 435I XDRIVE COUPE,Bmw 435i xDRIVE COUPE,BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
BMW 528I,Bmw 528i,BMW,528i,MID-SIZE,2,4,A8,Z,10.2,7,8.8,32,202
BMW 528I XDRIVE,Bmw 528i xDRIVE,BMW,528i xDRIVE,MID-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW 535D XDRIVE,Bmw 535d xDRIVE,BMW,535d xDRIVE,MID-SIZE,3,6,A8,D,9.2,6.4,7.9,36,213
BMW 535I XDRIVE,Bmw 535i xDRIVE,BMW,535i xDRIVE,MID-SIZE,3,6,A8,Z,11.9,8,10.1,28,232
BMW 535I XDRIVE GRAN TURISMO,Bmw 535i xDRIVE GRAN TURISMO,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
BMW 550I XDRIVE,Bmw 550i xDRIVE,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
BMW 550I XDRIVE GRAN TURISMO,Bmw 550i xDRIVE GRAN TURISMO,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW 640I XDRIVE GRAN COUPE,Bmw 640i xDRIVE GRAN COUPE,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A8,Z,11.9,8,10.1,28,232
BMW 650I XDRIVE CABRIOLET,Bmw 650i xDRIVE CABRIOLET,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW 650I XDRIVE COUPE,Bmw 650i xDRIVE COUPE,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
BMW 650I XDRIVE GRAN COUPE,Bmw 650i xDRIVE GRAN COUPE,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW 740LI XDRIVE,Bmw 740Li xDRIVE,BMW,740Li xDRIVE,FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
BMW 750I XDRIVE,Bmw 750i xDRIVE,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW 750LI XDRIVE,Bmw 750Li xDRIVE,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW 760LI,Bmw 760Li,BMW,760Li,FULL-SIZE,6,12,A8,Z,18.7,11.5,15.5,18,356
BMW ACTIVEHYBRID 3,Bmw ACTIVEHYBRID 3,BMW,ACTIVEHYBRID 3,COMPACT,3,6,A8,Z,9.2,7.1,8.3,34,191
BMW ACTIVEHYBRID 5,Bmw ACTIVEHYBRID 5,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A8,Z,10.5,7.9,9.3,30,214
BMW ACTIVEHYBRID 7L,Bmw ACTIVEHYBRID 7L,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A8,Z,10.5,7.6,9.2,31,212
BMW ALPINA B7 XDRIVE LWB,Bmw ALPINA B7 xDRIVE LWB,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW ALPINA B7 XDRIVE SWB,Bmw ALPINA B7 xDRIVE SWB,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
BMW M5,Bmw M5,BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW M6,Bmw M6,BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW M6 CABRIOLET,Bmw M6 CABRIOLET,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW M6 GRAN COUPE,Bmw M6 GRAN COUPE,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW X1 XDRIVE28I,Bmw X1 xDRIVE28i,BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW X1 XDRIVE35I,Bmw X1 xDRIVE35i,BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A6,Z,13.2,8.9,11.3,25,260
BMW X3 XDRIVE28I,Bmw X3 xDRIVE28i,BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A8,Z,11.2,8.5,10,28,230
BMW X3 XDRIVE35I,Bmw X3 xDRIVE35i,BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A8,Z,12.6,9.1,11,26,253
BMW X5 XDRIVE35I,Bmw X5 xDRIVE35i,BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,12.9,8.8,11.1,25,255
BMW X5 XDRIVE50I,Bmw X5 xDRIVE50i,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320
BMW X6 M,Bmw X6 M,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
BMW X6 XDRIVE35I,Bmw X6 xDRIVE35i,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,A8,Z,13.6,9.8,11.9,24,274
BMW X6 XDRIVE50I,Bmw X6 xDRIVE50i,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324
BMW Z4 SDRIVE28I,Bmw Z4 sDRIVE28i,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A8,Z,10.8,7.1,9.1,31,209
BMW Z4 SDRIVE35I,Bmw Z4 sDRIVE35i,BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
BMW Z4 SDRIVE35IS,Bmw Z4 sDRIVE35is,BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
BUICK ENCLAVE,Buick ENCLAVE,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
BUICK ENCLAVE AWD,Buick ENCLAVE AWD,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
BUICK ENCORE,Buick ENCORE,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
BUICK ENCORE AWD,Buick ENCORE AWD,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8,9.2,31,212
BUICK LACROSSE,Buick LACROSSE,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
BUICK LACROSSE AWD,Buick LACROSSE AWD,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264
BUICK LACROSSE EASSIST,Buick LACROSSE eASSIST,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
BUICK REGAL,Buick REGAL,BUICK,REGAL,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
BUICK REGAL AWD,Buick REGAL AWD,BUICK,REGAL AWD,MID-SIZE,2,4,AS6,Z,12.3,8.7,10.7,26,246
BUICK REGAL EASSIST,Buick REGAL eASSIST,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
BUICK VERANO,Buick VERANO,BUICK,VERANO,COMPACT,2,4,AS6,Z,11.5,7.9,9.9,29,228
CADILLAC ATS,Cadillac ATS,CADILLAC,ATS,COMPACT,2,4,AS6,Z,11.3,7.5,9.6,29,221
CADILLAC ATS AWD,Cadillac ATS AWD,CADILLAC,ATS AWD,COMPACT,2,4,AS6,Z,11.8,8.1,10.1,28,232
CADILLAC CTS COUPE,Cadillac CTS COUPE,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
CADILLAC CTS COUPE AWD,Cadillac CTS COUPE AWD,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9,11.4,25,262
CADILLAC CTS SEDAN,Cadillac CTS SEDAN,CADILLAC,CTS SEDAN,MID-SIZE,2,4,AS6,Z,11.9,7.9,10.1,28,232
CADILLAC CTS SEDAN AWD,Cadillac CTS SEDAN AWD,CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,AS6,Z,12.6,8.5,10.8,26,248
CADILLAC CTS SEDAN VSPORT,Cadillac CTS SEDAN Vsport,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
CADILLAC CTS SPORT WAGON,Cadillac CTS SPORT WAGON,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,AS6,X,12.7,8.9,11,26,253
CADILLAC CTS SPORT WAGON AWD,Cadillac CTS SPORT WAGON AWD,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,AS6,X,12.8,9.1,11.1,25,255
CADILLAC CTS-V COUPE,Cadillac CTS-V COUPE,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC CTS-V SEDAN,Cadillac CTS-V SEDAN,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC CTS-V SPORT WAGON,Cadillac CTS-V SPORT WAGON,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CADILLAC ESCALADE AWD,Cadillac ESCALADE AWD,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17,11.8,14.7,19,338
CADILLAC ESCALADE ESV AWD,Cadillac ESCALADE ESV AWD,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
CADILLAC SRX,Cadillac SRX,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283
CADILLAC SRX AWD,Cadillac SRX AWD,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294
CADILLAC XTS,Cadillac XTS,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262
CADILLAC XTS AWD,Cadillac XTS AWD,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14,9.1,11.8,24,271
CADILLAC XTS VSPORT AWD,Cadillac XTS Vsport AWD,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
CHEVROLET CAMARO,Chevrolet CAMARO,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
CHEVROLET CAMARO 2LS,Chevrolet CAMARO 2LS,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242
CHEVROLET CAMARO SS,Chevrolet CAMARO SS,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
CHEVROLET CAMARO ZL1,Chevrolet CAMARO ZL1,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
CHEVROLET CORVETTE,Chevrolet CORVETTE,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12,24,276
CHEVROLET CRUZE,Chevrolet CRUZE,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179
CHEVROLET CRUZE DIESEL,Chevrolet CRUZE DIESEL,CHEVROLET,CRUZE DIESEL,MID-SIZE,2,4,AS6,D,8.7,5.1,7.1,40,192
CHEVROLET CRUZE ECO,Chevrolet CRUZE ECO,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6,7.7,37,177
CHEVROLET EQUINOX,Chevrolet EQUINOX,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
CHEVROLET EQUINOX AWD,Chevrolet EQUINOX AWD,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,28,230
CHEVROLET EXPRESS 1500 CARGO,Chevrolet EXPRESS 1500 CARGO,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
CHEVROLET EXPRESS 1500 CARGO AWD,Chevrolet EXPRESS 1500 CARGO AWD,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET EXPRESS 1500 CARGO CONV,Chevrolet EXPRESS 1500 CARGO CONV,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
CHEVROLET EXPRESS 1500 CARGO CONV AWD,Chevrolet EXPRESS 1500 CARGO CONV AWD,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET EXPRESS 1500 PASSENGER,Chevrolet EXPRESS 1500 PASSENGER,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
CHEVROLET EXPRESS 1500 PASSENGER AWD,Chevrolet EXPRESS 1500 PASSENGER AWD,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET EXPRESS 2500 PASSENGER,Chevrolet EXPRESS 2500 PASSENGER,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414
CHEVROLET EXPRESS 3500 PASSENGER,Chevrolet EXPRESS 3500 PASSENGER,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
CHEVROLET IMPALA,Chevrolet IMPALA,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
CHEVROLET IMPALA ECO,Chevrolet IMPALA ECO,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10,7,8.7,32,200
CHEVROLET MALIBU,Chevrolet MALIBU,CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
CHEVROLET ORLANDO,Chevrolet ORLANDO,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244
CHEVROLET SILVERADO,Chevrolet SILVERADO,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
CHEVROLET SILVERADO 4WD,Chevrolet SILVERADO 4WD,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
CHEVROLET SONIC,Chevrolet SONIC,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8,35,184
CHEVROLET SONIC RS,Chevrolet SONIC RS,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191
CHEVROLET SONIC 5,Chevrolet SONIC 5,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8,35,184
CHEVROLET SONIC 5 RS,Chevrolet SONIC 5 RS,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,7,8.3,34,191
CHEVROLET SPARK,Chevrolet SPARK,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6,6.9,41,159
CHEVROLET SUBURBAN,Chevrolet SUBURBAN,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET SUBURBAN 4WD,Chevrolet SUBURBAN 4WD,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET TAHOE,Chevrolet TAHOE,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET TAHOE 4WD,Chevrolet TAHOE 4WD,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET TRAVERSE,Chevrolet TRAVERSE,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
CHEVROLET TRAVERSE AWD,Chevrolet TRAVERSE AWD,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
CHEVROLET TRAX,Chevrolet TRAX,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193
CHEVROLET TRAX AWD,Chevrolet TRAX AWD,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10,7.8,9,31,207
CHRYSLER 300,Chrysler 300,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
